Country,Date,Confirmed,Recovered,Deaths,State_cleaned,City
Thailand,2020-01-22,2,0,0,Bangkok,
Japan,2020-01-22,2,0,0,Tokyo,
Singapore,2020-01-22,0,0,0,Singapore,
Nepal,2020-01-22,0,0,0,Kathmandu,
Malaysia,2020-01-22,0,0,0,Kuala Lumpur,
Canada,2020-01-22,0,0,0,British Columbia,
Australia,2020-01-22,0,0,0,New South Wales,
Australia,2020-01-22,0,0,0,Victoria,
Australia,2020-01-22,0,0,0,Queensland,
Cambodia,2020-01-22,0,0,0,Phnom Penh,
Sri Lanka,2020-01-22,0,0,0,Sri Jayawardenapura Kotte,
Germany,2020-01-22,0,0,0,Berlin,
Finland,2020-01-22,0,0,0,Helsinki,
United Arab Emirates,2020-01-22,0,0,0,Abu Dhabi,
Philippines,2020-01-22,0,0,0,Manila,
India,2020-01-22,0,0,0,New Delhi,
Italy,2020-01-22,0,0,0,Rome,
Sweden,2020-01-22,0,0,0,Stockholm,
Spain,2020-01-22,0,0,0,Madrid,
Australia,2020-01-22,0,0,0,South Australia,
Belgium,2020-01-22,0,0,0,Brussels,
Egypt,2020-01-22,0,0,0,Cairo,
Australia,2020-01-22,0,0,0,From Diamond Princess,
Lebanon,2020-01-22,0,0,0,Beirut,
Iraq,2020-01-22,0,0,0,Baghdad,
Oman,2020-01-22,0,0,0,Muscat,
Afghanistan,2020-01-22,0,0,0,Kabul,
Bahrain,2020-01-22,0,0,0,Manama,
Kuwait,2020-01-22,0,0,0,Kuwait City,
Algeria,2020-01-22,0,0,0,Algiers,
Croatia,2020-01-22,0,0,0,Zagreb,
Switzerland,2020-01-22,0,0,0,Bern,
Austria,2020-01-22,0,0,0,Vienna,
Israel,2020-01-22,0,0,0,Jerusalem,
Pakistan,2020-01-22,0,0,0,Islamabad,
Brazil,2020-01-22,0,0,0,Brasília,
Georgia,2020-01-22,0,0,0,Tbilisi,
Greece,2020-01-22,0,0,0,Athens,
Macedonia,2020-01-22,0,0,0,Skopje,
Norway,2020-01-22,0,0,0,Oslo,
Romania,2020-01-22,0,0,0,Bucharest,
Estonia,2020-01-22,0,0,0,Tallinn,
San Marino,2020-01-22,0,0,0,San Marino,
Belarus,2020-01-22,0,0,0,Minsk,
Iceland,2020-01-22,0,0,0,Reykjavík,
Lithuania,2020-01-22,0,0,0,Vilnius,
Mexico,2020-01-22,0,0,0,Mexico City,
New Zealand,2020-01-22,0,0,0,Wellington,
Nigeria,2020-01-22,0,0,0,Abuja,
Australia,2020-01-22,0,0,0,Western Australia,
Ireland,2020-01-22,0,0,0,Dublin,
Luxembourg,2020-01-22,0,0,0,Luxembourg,
Monaco,2020-01-22,0,0,0,Monaco,
Qatar,2020-01-22,0,0,0,Doha,
Ecuador,2020-01-22,0,0,0,Quito,
Azerbaijan,2020-01-22,0,0,0,Baku,
Armenia,2020-01-22,0,0,0,Yerevan,
Dominican Republic,2020-01-22,0,0,0,Santo Domingo,
Indonesia,2020-01-22,0,0,0,Jakarta,
Portugal,2020-01-22,0,0,0,Lisbon,
Andorra,2020-01-22,0,0,0,Andorra la Vella,
Australia,2020-01-22,0,0,0,Tasmania,
Latvia,2020-01-22,0,0,0,Riga,
Morocco,2020-01-22,0,0,0,Rabat,
Saudi Arabia,2020-01-22,0,0,0,Riyadh,
Senegal,2020-01-22,0,0,0,Dakar,
Argentina,2020-01-22,0,0,0,Buenos Aires,
Chile,2020-01-22,0,0,0,Santiago,
Jordan,2020-01-22,0,0,0,Amman,
Ukraine,2020-01-22,0,0,0,Kiev,
Hungary,2020-01-22,0,0,0,Budapest,
Australia,2020-01-22,0,0,0,Northern Territory,
Liechtenstein,2020-01-22,0,0,0,Vaduz,
Poland,2020-01-22,0,0,0,Warsaw,
Tunisia,2020-01-22,0,0,0,Tunis,
Bosnia and Herzegovina,2020-01-22,0,0,0,Sarajevo,
Slovenia,2020-01-22,0,0,0,Ljubljana,
South Africa,2020-01-22,0,0,0,Pretoria,
Bhutan,2020-01-22,0,0,0,Thimphu,
Cameroon,2020-01-22,0,0,0,Yaoundé,
Colombia,2020-01-22,0,0,0,Bogotá,
Costa Rica,2020-01-22,0,0,0,San José,
Peru,2020-01-22,0,0,0,Lima,
Serbia,2020-01-22,0,0,0,Belgrade,
Slovakia,2020-01-22,0,0,0,Bratislava,
Togo,2020-01-22,0,0,0,Lomé,
Malta,2020-01-22,0,0,0,Valletta,
Martinique,2020-01-22,0,0,0,Martinique,
Bulgaria,2020-01-22,0,0,0,Sofia,
Maldives,2020-01-22,0,0,0,Malé,
Bangladesh,2020-01-22,0,0,0,Dhaka,
Paraguay,2020-01-22,0,0,0,Asunción,
Canada,2020-01-22,0,0,0,Ontario,
Canada,2020-01-22,0,0,0,Alberta,
Canada,2020-01-22,0,0,0,Quebec,
Albania,2020-01-22,0,0,0,Tirana,
Cyprus,2020-01-22,0,0,0,Nicosia,
Brunei,2020-01-22,0,0,0,Bandar Seri Begawan,
US,2020-01-22,0,0,0,Washington,Washington
US,2020-01-22,0,0,0,New York,New York
US,2020-01-22,0,0,0,California,California
US,2020-01-22,0,0,0,Massachusetts,Massachusetts
US,2020-01-22,0,0,0,Diamond Princess,Diamond Princess
US,2020-01-22,0,0,0,Grand Princess,Grand Princess
US,2020-01-22,0,0,0,Georgia,Georgia
US,2020-01-22,0,0,0,Colorado,Colorado
US,2020-01-22,0,0,0,Florida,Florida
US,2020-01-22,0,0,0,New Jersey,New Jersey
US,2020-01-22,0,0,0,Oregon,Oregon
US,2020-01-22,0,0,0,Texas,Texas
US,2020-01-22,0,0,0,Illinois,Illinois
US,2020-01-22,0,0,0,Pennsylvania,Pennsylvania
US,2020-01-22,0,0,0,Iowa,Iowa
US,2020-01-22,0,0,0,Maryland,Maryland
US,2020-01-22,0,0,0,North Carolina,North Carolina
US,2020-01-22,0,0,0,South Carolina,South Carolina
US,2020-01-22,0,0,0,Tennessee,Tennessee
US,2020-01-22,0,0,0,Virginia,Virginia
US,2020-01-22,0,0,0,Arizona,Arizona
US,2020-01-22,0,0,0,Indiana,Indiana
US,2020-01-22,0,0,0,Kentucky,Kentucky
US,2020-01-22,0,0,0,District of Columbia,District of Columbia
US,2020-01-22,0,0,0,Nevada,Nevada
US,2020-01-22,0,0,0,New Hampshire,New Hampshire
US,2020-01-22,0,0,0,Minnesota,Minnesota
US,2020-01-22,0,0,0,Nebraska,Nebraska
US,2020-01-22,0,0,0,Ohio,Ohio
US,2020-01-22,0,0,0,Rhode Island,Rhode Island
US,2020-01-22,0,0,0,Wisconsin,Wisconsin
US,2020-01-22,0,0,0,Connecticut,Connecticut
US,2020-01-22,0,0,0,Hawaii,Hawaii
US,2020-01-22,0,0,0,Oklahoma,Oklahoma
US,2020-01-22,0,0,0,Utah,Utah
Burkina Faso,2020-01-22,0,0,0,Ouagadougou,
